Participant ID,Age,Gender,Education,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,% Correctness,Response Time
s.6632c60b-7a46-419c-a8f7-a23d2dd18294.txt,24,1,4,4,3,6,6,2.67,,
s.0586c08c-5859-408d-b688-7ae58753f134.txt,25,2,4,7,5.33,6,6.67,3,93.03278688,180.0988
s.f1f4a330-e6af-4faa-87c3-71c5d270a3cd.txt,22,2,4,5.67,3.33,5,5.33,3,,
s.e48480c1-c5b2-40b7-b36a-66406ac1f349.txt,27,1,4,4.67,6.33,3,6.67,4.67,95.88477366,284.3662551
s.095d994b-e57e-49a1-a9a7-13bf65619b61.txt,23,1,5,5,6,3.67,6.33,2.33,,
s.c13fe347-9e78-458b-8355-639e291dd038.txt,23,2,5,7,5,3.67,3.67,5,,
s.136f3554-c513-47d8-8a65-89dffe08dcef.txt,22,2,4,5,2.67,2.33,4.33,2.67,,
s.a010fa36-9cf3-401b-9c46-7bdada85b9a5.txt,17,2,3,6.33,4.67,5.33,4.67,5,,
s.c60bf128-6745-4307-9ac0-19f251bd6740.txt,21,2,4,5,4.33,4,5,6,93.82716049,218.8765432
s.a4cd6f19-e821-4a1c-ac37-171ed7ea15f3.txt,23,2,4,6,5.33,4,5.67,5.33,,
s.27ccadf9-e714-4d77-9a3a-2d6c9d2f334c.txt,24,2,4,5.33,3.67,3.67,6.33,4,96.70781893,373.8641975
s.fe0d800a-b557-42c1-950a-fa787ead835b.txt,21,2,4,6.33,3.33,4,4.33,5,97.5308642,378.0740741
s.3c16804a-79f8-4bcc-9956-cdf237d35c01.txt,21,1,4,5,5,3.33,5.33,3.33,,
s.8f7a75fa-91d7-41c3-968f-b28f5eff2993.txt,22,1,3,3,3.67,3.67,3.67,3.67,,
s.a52d5052-693b-4409-98ce-71223cae48b3.txt,18,2,4,5.67,3.67,6.33,6.33,3.67,95.88477366,177.617284
s.5abb9c19-4c0c-4ded-86a6-70c99f42b3fa.txt,24,2,4,5.33,2,4.67,5.33,2,94.23868313,231.9958848
s.3cad5b69-fbe1-4bd9-b077-fe0f72d6d36a.txt,22,2,4,6,5,2.33,3.67,3,93.00411523,174.9753086
s.f2896dfc-586b-4fa5-9c4e-62576b7de3fd.txt,21,1,4,5,5,3.33,5.33,2.33,,
s.a2d1576d-b269-4992-8d42-79b7c794e787.txt,24,1,4,4.67,3,6,6,2.67,95.0617284,158.1769547
s.4d6c2594-f891-466e-b117-ad9ea485c726.txt,24,1,4,4.33,3,6,6,2.67,,
s.07afd402-15af-4a90-8d8c-23f1c5acd1a4.txt,24,1,4,4.67,3.67,6,6,2.67,,
